Name,Abbreviation,Nickname
Congregation of the Mission,C.M.,Vincentians/Lazarists
Congregation of Marian Fathers of the Immaculate Conception of the Most Blessed Virgin Mary,M.I.C.,Marian Fathers
Catholic Foreign Mission Society of America,M.M.,Maryknoll
Order of Friars Minor,O.F.M.,Franciscans
Order of Friars Minor Capuchin,O.F.M. Cap.,Capuchins
Order of Friars Minor Conventual,O.F.M. Conv.,Conventual Franciscans
Oblates of Mary Immaculate,O.M.I.,Oblates of Mary Immaculate
Order of St. Augustine,O.S.A.,Augustinians
Order of Saint Benedict,O.S.B.,Benedictines
Order of Friars Preachers,O.P.,Dominicans
Society of Priests of Saint Sulpice,P.S.S.,Sulpicians
Salesians of Saint John Bosco,S.D.B.,Salesians of St. John Bosco
Society of Jesus,S.J.,Jesuits
Society of the Catholic Apostolate,S.A.C.,Pallottines
St. Joseph’s Society of the Sacred Heart,S.S.J.,Josephite Fathers
Augustinians of the Assumption,A.A.,Assumptionists
Apostles of Jesus Missionaries,A.J.,
Opus Spiritus Sancti,ALCP/OSS,Holy Spirit Fathers
Clerics Regular of St. Paul,B.,Barnabites
Ordre Basilien Alépin (Melkite Greek),B.A.,
Basilian Chouerite Order of Saint John the Baptist (Melkite Greek),B.C.,
Arrouhbaniat Albassiliat Almoukhalissiat (Melkite Greek),B.S.,Basilian Salvatorian Order
Fraters van O.L.V. Moeder van Barmhartigheid,C. M. M.,CMM Brothers
Congregation of the Resurrection of Our Lord Jesus Christ,C. R.,Resurrectionists
Compagnia di San Paolo,C. S. P.,
Congregazione Mechitarista,C.A.M.,Mechitarists
Companions of the Cross,C.C.,
Congregation of the Disciples of the Lord,C.D.D.,
Fratelli Celliti o Alessiani de Aquisgrana,C.F.A.,Alexian Brothers
Christian Brothers,C.F.C.,
Broeders van de Onbevlekte Ontvangenis van de Allerheiligste Maagd en Moeder Gods Maria,C.F.H.,Broeders van Huijbergen
Congregazione dei Figli dell’Immacolata Concezione,C.F.I.C.,Concezionisti
Armen-Brüder des Heiligen Franziskus Seraphikus,C.F.P.,
Franciscan Friars of the Renewal,C.F.R.,
Congregation of the Priestly Fraternity,C.F.S.,
Xaverian Brothers,C.F.X.,
Congregration of Jesus the Priest,C.G.S.,
Congregation of the Immaculate Heart of Mary,C.I.C.M.,Scheutists
Congregation of Jesus and Mary,C.I.M.,Eudists
Institute of the Josephites of Belgium,C.J.,Josephites of Belgium
,,
Missionary Sons of the Immaculate Heart of Mary,C.M.F.,Claretians
Carmelites of Mary Immaculate,C.M.I.,
Congregation of Mariannhill Missionaries,C.M.M.,Marianhiller Missionare
Missionary Congregation of Saint Andrew the Apostle (Ukrainian),C.M.S.A.A.,
Franciscan Missionary Brothers,C.M.S.F.,
Confederation of Oratorians of St. Philip Neri,C.O.,Oratorians
