first_name,middle_name,last_name,current_see,role,date_of_birth,ordained_priest,ordained_bishop,principal_consecrator
Richard,Garth,Henning,Archdiocese of Boston,Ordinary,1964-10-17,1992-05-30,2018-07-24,John Oliver Barres
Robert,Walter,McElroy,Archdiocese of Washington,Ordinary,1954-02-05,1980-04-12,2010-09-07,George Hugh Niederauer
Nelson,Jesus,Perez,Archdiocese of Philadelphia,Ordinary,1961-06-16,1989-05-20,2012-07-25,William Francis Murphy
Joseph,William,Tobin,Archdiocese of Newark,Ordinary,1952-05-03,1978-06-01,2010-10-09,Tarcisio Pietro Evasio Bertone
William,Edward,Lori,Archdiocese of Baltimore,Ordinary,1951-05-06,1977-05-14,1995-04-20,James Aloysius Hickey
Michael,Francis,Burbidge,Diocese of Arlington,Ordinary,1957-06-16,1984-05-19,2002-09-05,Anthony Joseph Bevilacqua
Barry,Christopher,Knestout,Diocese of Richmond,Ordinary,1962-06-11,1989-06-24,2008-12-29,Donald William Wuerl
Luis,Rafael,Zarama Pasqualetto,Diocese of Raleigh,Ordinary,1958-11-28,1993-11-27,2009-09-29,Wilton Daniel Gregory
Jacques,Eric,Fabre-Jeune,Diocese of Charleston,Ordinary,1955-11-13,1986-10-10,2022-05-13,Wilton Daniel Gregory
Gregory,John,Hartmayer,Archdiocese of Atlanta,Ordinary,1951-11-21,1979-05-05,2011-10-18,Wilton Daniel Gregory
Christopher,James,Coyne,Archdiocese of Hartford,Ordinary,1958-06-17,1986-06-07,2011-03-02,Daniel Mark (Marcus George) Buechlein
Frank,Joseph,Caggiano,Diocese of Bridgeport,Ordinary,1959-03-29,1987-05-16,2006-08-22,Nicholas Anthony DiMarzio
Mark,William,O'Connell,Diocese of Albany,Ordinary,1964-06-25,1990-06-16,2016-08-24,Seán Patrick O’Malley
Cristiano,Guilherme Borro,Barbosa,Archdiocese of Boston,Auxiliary Bishop,1976-10-11,2007-12-22,2024-02-03,Seán Patrick O’Malley
Robert,Philip,Reed,Archdiocese of Boston,Auxiliary Bishop,1959-06-11,1985-07-06,2016-08-24,Seán Patrick O’Malley
John,Joseph,McIntyre,Archdiocese of Philadelphia,Auxiliary Bishop,1963-08-20,1992-05-16,2010-08-06,Justin Francis Rigali
Efren,Veridiano,Esmilla,Archdiocese of Philadelphia,Auxiliary Bishop,1962-06-18,1993-05-15,2024-03-07,Nelson Jesus Perez
Keith,James,Chylinski,Archdiocese of Philadelphia,Auxiliary Bishop,1971-07-23,2007-05-19,2024-03-07,Nelson Jesus Perez
Christopher,Randall,Cooke,Archdiocese of Philadelphia,Auxiliary Bishop,1973-11-08,2006-05-20,2024-03-07,Nelson Jesus Perez
Evelio,,Menjivar-Ayala,Archdiocese of Washington,Auxiliary Bishop,1970-08-14,2004-05-29,2023-02-21,Wilton Daniel Gregory
